Timestamp,linear_accelerationX,linear_accelerationY,linear_accelerationZ,magX,magY,magZ,gyroX,gyroY,gyroZ,accX,accY,accZ
1747682371.7621508,-0.19532999396324158,-0.32993465662002563,0.31487107276916504,3.7109375,2.2705078125,-96.19140625,-13.671875,-10.1318359375,-33.75244140625,-0.478271484375,0.1400146484375,0.9429931640625
1747682371.7636895,-0.1685710847377777,-0.2106713056564331,0.20522081851959229,2.2216796875,1.3916015625,-96.49658203125,-25.81787109375,-28.4423828125,-23.01025390625,-0.454345703125,0.2557373046875,0.8367919921875
1747682371.7652314,-0.1977187991142273,-0.1297551989555359,0.14720481634140015,1.7822265625,-0.5126953125,-95.068359375,-23.8037109375,-21.42333984375,-29.72412109375,-0.48681640625,0.33447265625,0.78125
1747682371.8200195,-0.17356157302856445,-0.0843915343284607,0.19567400217056274,1.46484375,-2.001953125,-94.95849609375,-43.76220703125,-25.7568359375,-29.541015625,-0.465576171875,0.37841796875,0.8330078125
1747682371.9404247,-0.25881141424179077,-0.1515466868877411,0.05425918102264404,1.57470703125,-4.4189453125,-93.7255859375,-47.42431640625,-17.822265625,-33.38623046875,-0.55517578125,0.3087158203125,0.6925048828125
1747682371.9425623,-0.18202176690101624,-0.06128332018852234,0.05552327632904053,2.38037109375,-7.177734375,-92.4072265625,-38.63525390625,-25.0244140625,-24.7802734375,-0.4814453125,0.39794921875,0.6947021484375
1747682371.9436157,-0.3263177275657654,-0.09808695316314697,0.06468993425369263,4.9072265625,-10.009765625,-90.46630859375,30.09033203125,7.8125,-20.81298828125,-0.6312255859375,0.3594970703125,0.7049560546875
1747682371.9456182,-0.22596243023872375,-0.0798984169960022,0.05989903211593628,6.45751953125,-12.890625,-86.31591796875,-37.109375,-7.26318359375,-13.73291015625,-0.53466796875,0.3763427734375,0.701171875
1747682372.0615582,-0.18933311104774475,0.03079015016555786,0.12757909297943115,9.87548828125,-14.85595703125,-79.9072265625,-42.17529296875,-22.76611328125,-13.61083984375,-0.501220703125,0.487548828125,0.77099609375
1747682372.1215208,-0.07443463802337646,0.04132607579231262,-0.03251892328262329,19.59228515625,-22.0947265625,-67.6513671875,-45.10498046875,-2.38037109375,-5.126953125,-0.3875732421875,0.498779296875,0.6103515625
1747682372.1228447,-0.08040747046470642,0.049766987562179565,0.029365479946136475,7.5439453125,-16.27197265625,-35.8642578125,-77.7587890625,-0.244140625,3.23486328125,-0.3948974609375,0.508056640625,0.6727294921875
1747682372.2403984,-0.17632105946540833,0.14186513423919678,0.002348482608795166,-28.125,6.45751953125,-53.50341796875,-53.5888671875,58.16650390625,2.3193359375,-0.4937744140625,0.6025390625,0.645751953125
1747682372.2417645,-0.32239198684692383,0.08501636981964111,-0.12410575151443481,-26.77001953125,2.44140625,-107.48291015625,-175.537109375,59.87548828125,9.033203125,-0.645263671875,0.547119140625,0.5172119140625
1747682372.2438955,-0.1287006437778473,0.2387191355228424,-0.2575938105583191,14.0380859375,-33.92333984375,-111.26708984375,-217.1630859375,2.62451171875,-8.544921875,-0.4537353515625,0.704833984375,0.37939453125
1747682372.3008215,-0.03881490230560303,0.48724403977394104,-0.25825822353363037,10.97412109375,-32.6416015625,-65.80810546875,-149.90234375,-50.35400390625,31.06689453125,-0.364501953125,0.9615478515625,0.3743896484375
1747682372.4206736,-0.1789950728416443,0.09202072024345398,-0.7171525359153748,3.67431640625,-26.4892578125,-61.865234375,-28.13720703125,0.1220703125,-10.68115234375,-0.5076904296875,0.56787109375,-0.0965576171875
1747682372.4809976,-0.6243129968643188,0.5213686227798462,-0.4169324040412903,3.2958984375,-25.81787109375,-64.00146484375,-15.869140625,-7.87353515625,-24.71923828125,-0.9635009765625,1.0059814453125,0.1966552734375
1747682372.482999,-0.5286363363265991,0.1607566475868225,-0.5381371378898621,4.19921875,-25.87890625,-63.73291015625,-14.83154296875,-10.31494140625,-6.34765625,-0.876708984375,0.6480712890625,0.06640625
1747682372.4849977,-0.2452181577682495,0.21452423930168152,0.054333508014678955,3.60107421875,-26.11083984375,-63.2568359375,-46.142578125,-26.9775390625,25.57373046875,-0.597412109375,0.7054443359375,0.6597900390625
1747682372.5414057,-0.17501598596572876,0.2624809741973877,-0.5194556713104248,3.80859375,-25.81787109375,-63.73291015625,12.02392578125,24.2919921875,-8.9111328125,-0.5301513671875,0.7578125,0.0772705078125
1747682372.6017323,-0.15183427929878235,0.3083244562149048,-0.19813257455825806,4.89501953125,-25.72021484375,-65.185546875,3.7841796875,47.607421875,-10.92529296875,-0.509521484375,0.808837890625,0.395263671875
1747682372.7214277,-0.004781275987625122,0.32075589895248413,-0.3187519907951355,5.21240234375,-26.62353515625,-64.09912109375,23.86474609375,66.58935546875,5.18798828125,-0.362548828125,0.82666015625,0.269287109375
1747682372.72401,-0.09666255116462708,0.294805109500885,-0.29955726861953735,5.7861328125,-26.01318359375,-66.61376953125,46.2646484375,74.89013671875,2.13623046875,-0.4560546875,0.8056640625,0.283447265625
O,O,O,O,O,O,O,O,O,O,O,O,O
1747682372.8406067,-0.10959118604660034,0.3115417957305908,-0.23313897848129272,6.77490234375,-25.76904296875,-69.3603515625,31.494140625,86.73095703125,23.62060546875,-0.4708251953125,0.82763671875,0.345947265625
1747682372.8436098,-0.13347101211547852,0.3757827877998352,-0.16361665725708008,6.8603515625,-25.390625,-70.0927734375,34.11865234375,96.25244140625,32.53173828125,-0.4969482421875,0.898193359375,0.4127197265625
1747682372.8456113,-0.128503680229187,0.27713096141815186,-0.3233434557914734,7.470703125,-24.6337890625,-71.8994140625,34.66796875,92.7734375,18.12744140625,-0.494140625,0.80419921875,0.24755859375
1747682372.9022856,-0.16707748174667358,0.2982415556907654,-0.23708349466323853,7.70263671875,-24.90234375,-72.81494140625,25.0244140625,71.044921875,48.7060546875,-0.5355224609375,0.830322265625,0.329833984375
1747682372.9612172,-0.01737147569656372,0.3761482834815979,-0.5468622446060181,6.34765625,-24.560546875,-73.81591796875,17.51708984375,24.23095703125,35.21728515625,-0.3861083984375,0.91455078125,0.0108642578125
1747682373.0213313,-0.1181686520576477,0.2864943742752075,-0.11967992782592773,6.54296875,-24.4384765625,-73.14453125,-22.4609375,0.30517578125,-0.48828125,-0.4888916015625,0.8297119140625,0.43603515625
1747682373.0812323,-0.051627129316329956,0.2488645315170288,0.018678009510040283,7.6171875,-25.01220703125,-75.3173828125,40.8935546875,24.90234375,-33.63037109375,-0.4232177734375,0.7962646484375,0.57470703125
1747682373.0832908,-0.013557463884353638,0.185325026512146,-0.0067217350006103516,9.60693359375,-24.15771484375,-78.23486328125,117.73681640625,44.86083984375,-15.625,-0.3853759765625,0.73583984375,0.5491943359375
1747682373.1414297,0.058338046073913574,0.17589902877807617,-0.005770266056060791,10.44921875,-21.10595703125,-83.251953125,146.05712890625,48.03466796875,-13.3056640625,-0.3125,0.7293701171875,0.550048828125
1747682373.2012491,0.04200705885887146,-0.04934585094451904,0.12026029825210571,12.1337890625,-18.408203125,-85.99853515625,117.3095703125,84.47265625,-6.40869140625,-0.328125,0.5032958984375,0.6781005859375
1747682373.3210208,0.23255655169487,-0.23473185300827026,0.3412102460861206,14.1357421875,-10.87646484375,-92.6513671875,240.478515625,29.96826171875,0.8544921875,-0.1336669921875,0.31396484375,0.90478515625
