Timestamp,linear_accelerationX,linear_accelerationY,linear_accelerationZ,magX,magY,magZ,gyroX,gyroY,gyroZ,accX,accY,accZ
X,X,X,X,X,X,X,X,X,X,X,X,X
O,O,O,O,O,O,O,O,O,O,O,O,O
X,X,X,X,X,X,X,X,X,X,X,X,X
O,O,O,O,O,O,O,O,O,O,O,O,O
X,X,X,X,X,X,X,X,X,X,X,X,X
O,O,O,O,O,O,O,O,O,O,O,O,O
X,X,X,X,X,X,X,X,X,X,X,X,X
1743408977.0289278,0.005303099751472473,0.14110296964645386,-0.8757712841033936,43.8232421875,44.47021484375,70.49560546875,116.455078125,-85.87646484375,129.69970703125,0.1373291015625,-0.7105712890625,-1.0924072265625
1743408977.1464043,0.02118244767189026,0.7888556718826294,-0.6556456089019775,45.6787109375,40.4541015625,67.88330078125,108.82568359375,-111.02294921875,38.87939453125,0.153564453125,-0.049560546875,-0.88330078125
1743408977.2057607,0.11039158701896667,0.9040329456329346,-0.19040928781032562,45.9228515625,39.453125,65.24658203125,89.78271484375,-102.6611328125,-28.80859375,0.24462890625,0.080810546875,-0.4212646484375
1743408977.2084079,-0.036576688289642334,1.2183946371078491,0.23184168338775635,45.4345703125,41.34521484375,62.68310546875,94.66552734375,-89.41650390625,-90.63720703125,0.0970458984375,0.4156494140625,0.0048828125
1743408977.2659426,-0.2351394146680832,0.6314874887466431,-0.3271137475967407,41.8701171875,47.35107421875,63.525390625,163.818359375,-32.16552734375,-215.39306640625,-0.10546875,-0.16064453125,-0.5595703125
1743408977.2679658,-0.36907321214675903,0.4675024151802063,-0.28160932660102844,36.58447265625,54.04052734375,63.95263671875,140.44189453125,-84.228515625,-222.65625,-0.24560546875,-0.3167724609375,-0.518798828125
1743408977.38538,-0.442447692155838,0.07356584072113037,0.5580113530158997,29.47998046875,60.546875,65.5517578125,88.134765625,-31.06689453125,-255.615234375,-0.326416015625,-0.70947265625,0.3302001953125
1743408977.446915,-0.3615422546863556,-0.42742919921875,0.5282590389251709,20.91064453125,64.697265625,64.73388671875,10.25390625,-26.18408203125,-227.72216796875,-0.2515869140625,-1.2176513671875,0.309326171875
1743408977.4489162,-0.34128010272979736,-0.9844915270805359,1.148963451385498,13.70849609375,67.5048828125,64.97802734375,-54.74853515625,54.19921875,-173.583984375,-0.237060546875,-1.791259765625,0.9493408203125
1743408977.506123,-0.26828956604003906,-1.1541805267333984,0.4489137828350067,8.11767578125,68.5546875,63.5986328125,-20.01953125,73.3642578125,-110.90087890625,-0.1685791015625,-1.9803466796875,0.2568359375
1743408977.515122,-0.5852359533309937,-0.6053109169006348,0.5850766897201538,5.48095703125,69.1650390625,64.111328125,-9.27734375,144.22607421875,-46.81396484375,-0.495361328125,-1.441650390625,0.40283203125
1743408977.6238863,-0.5987327694892883,-0.8711867332458496,0.0887126624584198,3.08837890625,68.54248046875,64.306640625,-1.953125,162.59765625,-27.89306640625,-0.5189208984375,-1.72216796875,-0.092041015625
1743408977.747128,-0.5465778708457947,-0.4873850345611572,-0.09463338553905487,1.6357421875,68.65234375,63.28125,20.69091796875,191.22314453125,-6.2255859375,-0.4759521484375,-1.3465576171875,-0.2769775390625
1743408977.8063822,-0.5997307896614075,-0.3161776065826416,-0.2144424021244049,2.25830078125,69.3359375,63.623046875,39.36767578125,197.509765625,27.77099609375,-0.5391845703125,-1.1806640625,-0.400390625
1743408977.8679075,-0.6957042813301086,-0.20362448692321777,-0.18808791041374207,3.271484375,69.4580078125,63.70849609375,3.96728515625,164.1845703125,33.99658203125,-0.6468505859375,-1.071533203125,-0.377197265625
1743408977.925123,-0.5820403099060059,-0.7647462487220764,-0.14536166191101074,4.28466796875,70.00732421875,63.2568359375,12.87841796875,186.6455078125,42.29736328125,-0.54296875,-1.6455078125,-0.3369140625
1743408978.105372,-0.6994354724884033,-0.4043133854866028,-0.29986777901649475,7.080078125,69.9462890625,62.353515625,-2.0751953125,136.77978515625,58.16650390625,-0.672119140625,-1.2918701171875,-0.4964599609375
1743408978.1660194,-0.5346873998641968,-0.5481765270233154,-0.23392456769943237,11.02294921875,69.05517578125,62.353515625,-17.51708984375,118.65234375,94.29931640625,-0.516357421875,-1.4449462890625,-0.4344482421875
1743408978.1680186,-0.4361703097820282,-0.3200197219848633,-0.5136223435401917,15.24658203125,68.0419921875,62.5,-0.9765625,63.5986328125,122.25341796875,-0.4251708984375,-1.22216796875,-0.7227783203125
1743408978.1700208,-0.2634083330631256,-0.30788713693618774,-0.19875843822956085,21.5576171875,66.61376953125,62.8173828125,25.93994140625,35.64453125,161.80419921875,-0.2568359375,-1.2152099609375,-0.4112548828125
