Timestamp,accX,accY,accZ,magX,magY,magZ,gyroX,gyroY,gyroZ
1742912319.7694027,-0.0103759765625,-0.008544921875,0.9798583984375,-148.88916015625,-84.80224609375,399.98779296875,0.9765625,5.126953125,0.3662109375
1742912319.814912,-0.0111083984375,-0.0087890625,0.98095703125,-148.52294921875,-83.92333984375,399.98779296875,1.03759765625,5.2490234375,0.48828125
1742912319.859199,-0.010986328125,-0.008544921875,0.9815673828125,-149.12109375,-84.89990234375,399.98779296875,1.15966796875,5.0048828125,0.3662109375
1742912319.9490721,-0.0107421875,-0.0068359375,0.9827880859375,-148.4375,-84.1064453125,399.98779296875,1.0986328125,5.0048828125,0.3662109375
1742912319.9942129,-0.010498046875,-0.0091552734375,0.9822998046875,-149.21875,-85.21728515625,399.98779296875,1.0986328125,5.06591796875,0.42724609375
1742912320.0393205,-0.01171875,-0.009033203125,0.981689453125,-148.486328125,-83.8134765625,399.98779296875,0.91552734375,5.0048828125,0.30517578125
1742912320.0858097,-0.0107421875,-0.0078125,0.9783935546875,-149.03564453125,-85.14404296875,399.98779296875,0.9765625,5.18798828125,0.3662109375
1742912320.1292276,-0.0093994140625,-0.00830078125,0.9815673828125,-148.81591796875,-83.837890625,399.98779296875,0.9765625,4.8828125,0.42724609375
1742912320.1740956,-0.010009765625,-0.0087890625,0.9844970703125,-149.21875,-84.7900390625,399.98779296875,1.03759765625,4.8828125,0.42724609375
1742912320.2192092,-0.0098876953125,-0.0079345703125,0.981689453125,-148.193359375,-84.1796875,399.98779296875,0.79345703125,4.94384765625,0.3662109375
1742912320.3093617,-0.0111083984375,-0.0081787109375,0.9803466796875,-149.49951171875,-84.82666015625,399.98779296875,0.9765625,5.06591796875,0.244140625
1742912320.3095632,-0.011474609375,-0.009033203125,0.979736328125,-148.93798828125,-83.740234375,399.98779296875,0.79345703125,5.06591796875,0.42724609375
1742912320.399206,-0.0103759765625,-0.0079345703125,0.9815673828125,-149.40185546875,-84.65576171875,399.98779296875,0.91552734375,4.94384765625,0.30517578125
1742912320.4443364,-0.0101318359375,-0.0089111328125,0.9835205078125,-149.0966796875,-83.97216796875,399.98779296875,1.03759765625,5.0048828125,0.3662109375
1742912320.4904413,-0.0098876953125,-0.0074462890625,0.9833984375,-149.5849609375,-85.19287109375,399.98779296875,1.0986328125,5.0048828125,0.42724609375
1742912320.5344636,-0.0106201171875,-0.0087890625,0.980712890625,-148.66943359375,-84.0087890625,399.98779296875,1.15966796875,5.06591796875,0.30517578125
1742912320.5792193,-0.0111083984375,-0.0084228515625,0.97998046875,-149.3408203125,-85.51025390625,399.98779296875,1.15966796875,5.126953125,0.42724609375
1742912320.624272,-0.0118408203125,-0.0081787109375,0.97900390625,-148.6572265625,-83.49609375,399.98779296875,1.03759765625,5.2490234375,0.30517578125
